Date,Open,High,Low,Close,Adj Close,Volume
1/1/15,206.380005,206.880005,198.860001,202.309998,172.849808,625596600
1/8/15,204.009995,206.419998,198.570007,200.860001,171.610977,857725600
1/15/15,201.630005,203.660004,198.550003,203.080002,173.507751,642427300
1/22/15,203.990005,206.259995,199.910004,200.139999,170.995834,686441400
1/29/15,200.380005,205.380005,197.860001,204.059998,174.345032,792941700
2/5/15,204.860001,207.449997,204.139999,206.929993,176.797058,498096200
2/12/15,207.889999,210.320007,206.970001,210.130005,179.531113,348837400
2/19/15,209.410004,212.240005,208.729996,211.630005,180.812698,452304000
2/26/15,211.520004,212.059998,209.059998,210.229996,179.616547,493088300
3/5/15,210.619995,210.800003,204.399994,204.5,174.720963,622086900
3/12/15,205.259995,211.270004,204.580002,210.460007,179.813065,715822500
3/19/15,209.960007,211.110001,205.710007,205.759995,175.79744,604743900
3/26/15,204.960007,208.610001,204.119995,205.699997,176.530716,632258900
4/2/15,205.619995,208.759995,205.210007,207.979996,178.487381,371857300
4/9/15,207.779999,211.039993,207.190002,210.429993,180.589981,407337600
4/16/15,210.029999,210.979996,207.009995,210.630005,180.761551,503062000
4/23/15,210.149994,212.479996,209.330002,210.570007,180.710083,455819800
4/30/15,209.880005,212.020004,206.759995,208.039993,178.538818,584018200
5/7/15,207.919998,211.889999,207.520004,210.020004,180.238083,534225800
5/14/15,211.240005,213.779999,210.910004,212.880005,182.692551,395965900
5/21/15,212.710007,213.75,210.199997,212.699997,182.538071,339720700
5/28/15,212.330002,212.669998,210.270004,211.919998,181.868652,472584900
6/4/15,211.070007,211.860001,207.690002,210.949997,181.036209,602236800
6/11/15,211.479996,212.089996,207.789993,210.589996,180.727264,545659800
6/18/15,211.309998,213.339996,210.360001,210.5,180.650009,527826700
6/25/15,211.100006,211.25,205.279999,207.5,178.941605,722808500
7/2/15,208.070007,208.270004,204.110001,204.529999,176.380432,560189400
7/9/15,207.039993,211.279999,204.770004,210.610001,181.623596,559263100
7/16/15,211.869995,213.179993,210.889999,211.369995,182.278976,432793000
7/23/15,211.529999,211.649994,206.259995,210.770004,181.761566,569961300
7/30/15,210.160004,211.449997,208.649994,210.070007,181.157928,476144600
8/6/15,210.289993,210.669998,205.360001,208.919998,180.166183,612364600
8/13/15,208.729996,210.679993,207.350006,208.320007,179.648804,485881100
8/20/15,206.509995,208.289993,182.399994,194.460007,167.696365,1757250800
8/27/15,197.020004,199.839996,190.729996,195.410004,168.515594,1014126800
9/3/15,196.259995,199.470001,191.610001,194.789993,167.980942,624542200
9/10/15,194.559998,200.410004,194.25,200.179993,172.629105,571142100
9/17/15,200.020004,202.889999,192.559998,193.600006,166.954697,852111800
9/24/15,192.149994,195,186.929993,191.630005,166.115005,815447100
10/1/15,192.080002,199.830002,189.119995,199.410004,172.859116,702984900
10/8/15,198.949997,202.160004,198.589996,199.289993,172.755035,503664900
10/15/15,200.080002,203.839996,199.639999,201.850006,174.974197,505732700
10/22/15,202.979996,208.979996,201.850006,208.949997,181.12886,602199500
10/29/15,208.350006,211.660004,207.740005,210.360001,182.351151,499343800
11/5/15,210.429993,210.979996,206.949997,207.740005,180.079971,463609500
11/12/15,206.5,208.899994,202.179993,208.729996,180.938171,635003700
11/19/15,208.589996,210.119995,207.410004,209.320007,181.449615,398017700
11/26/15,209.429993,211,208.229996,208.529999,180.764816,356440200
12/3/15,208.830002,209.970001,204.179993,205.339996,177.999512,726939100
12/10/15,205.419998,208.389999,199.949997,208.029999,180.33136,860774000
12/17/15,208.399994,208.479996,199.830002,206.020004,178.58902,745593700
12/24/15,205.720001,207.789993,203.940002,205.929993,179.573364,270397900
12/31/15,205.130005,205.889999,197.600006,198.820007,173.373367,600189800
1/7/16,195.330002,197.440002,188.380005,188.830002,164.661957,1004694000
1/14/16,189.550003,193.259995,181.020004,185.649994,161.888962,1047434200
1/21/16,186.210007,191.559998,184.639999,188.130005,164.051544,821182700
1/28/16,189.960007,194.580002,187.100006,191.300003,166.815887,878009500
2/4/16,190.710007,192.75,182.800003,185.270004,161.557602,844574000
2/11/16,182.339996,193.320007,181.089996,192.880005,168.193588,602951500
2/18/16,193.199997,194.949997,189.320007,193.199997,168.472672,583043800
2/25/16,193.729996,199.059998,192.830002,199,173.530319,610694800
3/3/16,198.789993,201.350006,198.110001,199.380005,173.861755,543460900
3/10/16,199.960007,203.820007,197.380005,203.339996,177.31488,590887500
3/17/16,203.240005,205.229996,202.770004,203.210007,177.201492,524102000
3/24/16,202,206.869995,201.740005,206.020004,180.57843,326057300
3/31/16,205.910004,207.139999,203.889999,206.419998,180.929077,464006600
4/7/16,205.139999,208.100006,203.089996,208,182.313919,504344100
4/14/16,208.070007,210.919998,207,210.100006,184.154587,392921900
4/21/16,210.119995,210.25,207.539993,209.350006,183.497177,404306800
4/28/16,208.460007,209.759995,204.419998,205.009995,179.693146,500494200
5/5/16,205.559998,208.539993,203.880005,206.5,180.999161,390508300
5/12/16,207.289993,207.490005,203.630005,204.910004,179.605484,498534700
5/19/16,204.059998,209.770004,202.779999,209.279999,183.435822,449262700
5/26/16,209.440002,210.690002,208.889999,210.270004,184.303635,299307500
6/2/16,209.800003,212.520004,208.860001,212.369995,186.144257,356834500
6/9/16,211.509995,212.220001,206.919998,207.75,182.094772,539551100
6/16/16,207.75,209.610001,205.589996,208.100006,182.401611,517400600
6/23/16,209.809998,210.869995,198.649994,206.660004,182.08139,963662600
6/30/16,207.210007,210.490005,206.559998,209.660004,184.724564,476902400
7/7/16,209.869995,215.449997,208.630005,214.919998,189.359009,481798400
7/14/16,216.399994,217.369995,215.309998,217.089996,191.270935,369617400
7/21/16,216.960007,217.300003,215.619995,216.520004,190.768723,340602300
7/28/16,216.289993,217.649994,214.570007,216.179993,190.469162,364155600
8/4/16,216.309998,218.759995,214.25,217.639999,191.755524,267577000
8/11/16,218.259995,219.5,217.020004,218.369995,192.398697,311979200
8/18/16,218.339996,219.600006,217.360001,217.850006,191.940506,314929200
